,name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
27,Naagin,7gAyu0od48mkaCw1laPKVC,0.807,0.5,9,-10.361,1,0.0581,0.0335,8.73e-06,0.0967,0.243,97.09
28,Scars To Your Beautiful,42ydLwx4i5V49RXHOozJZq,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169
29,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969
30,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07
31,Thoda Thoda Pyar,1GS0ShNbM4dpgmH7gaqIfe,0.646,0.976,5,-3.805,0,0.0815,0.442,2.65e-05,0.33,0.909,91.99
32,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908
33,Mehrama,6cUOiOY5qh2FpIQWIYAd2h,0.56,0.631,7,-9.032,1,0.0334,0.861,0.0133,0.0985,0.376,107.987
34,Wellerman - Sea Shanty,54OBgO0Xwu20Jak9TMXbR7,0.675,0.359,3,-5.157,1,0.108,0.614,0.0,0.137,0.792,191.903
35,Photograph,6CgNoAbFJ4Q4Id4EjtbXlC,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946
36,Demons,5qaEfEh1AtSdrdrByCP7qR,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938
37,Cold Water,4crR8rhNoWAa149MtZO2Ws,0.606,0.803,6,-5.12,0,0.0457,0.0696,0.0,0.157,0.525,92.966
38,Soviet Connection — The Theme from Grand Theft Auto IV,5AAXvrvpClghVZIvk5wPqf,0.471,0.608,0,-7.73,0,0.0533,0.218,0.206,0.13,0.628,146.048
39,Memories,4cktbXiXOapiLBMprHFErI,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05
40,What Is Love,5iV54XjRdRSTttMv8SNCy9,0.695,0.793,10,-7.219,0,0.036,0.0365,0.737,0.0463,0.631,99.594
41,MOOD 4 EVA (feat. Oumou Sangaré),7oqftogUN82Q7VNy2TmTJW,0.608,0.709,7,-6.175,1,0.374,0.119,0.0,0.337,0.709,105.742
42,Sunroof (feat. 24kGoldn),0u0eGWwyJmOVoG6ld4uNm0,0.77,0.686,10,-6.568,1,0.046,0.324,0.0,0.185,0.89,131.478
43,Señorita,0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947
44,Jalebi Baby,6GKGoi0FHzldk1ZRQoV1fv,0.68,0.895,2,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037
45,One Dance,5ZKG94fnjiuMH5yrC5S9lS,0.788,0.605,1,-5.586,1,0.0578,0.00899,0.00275,0.318,0.427,103.94
46,Yahin Hoon Main,5SKVkR6VYFfz3GJ8BsnG06,0.687,0.901,2,-6.452,1,0.117,0.0151,1.25e-05,0.617,0.852,93.015
47,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695
48,Play Date,4DpNNXFMMxQEKl7r0ykkWA,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97
49,Same Beef,65c6VCikt7f5sAS1heoYQC,0.779,0.854,9,-4.958,1,0.219,0.0462,0.0,0.21,0.379,91.992
50,In the Name of Love,23L5CiUhw2jV1OIMwthR3S,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99
51,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",20ZP3Om9DvDazXrNUC7WM2,0.654,0.798,0,-4.084,1,0.0451,0.188,0.0,0.15,0.574,92.207
52,Saibo,5E99hhV9umLN7KqTLpZPii,0.384,0.418,1,-13.68,1,0.0411,0.69,0.0,0.0988,0.426,167.391
53,Arcade,1UReO1X8z8qcZRXXzly6FB,0.448,0.352,0,-11.504,1,0.047,0.813,0.00119,0.14,0.221,72.111
54,Timber,1zHlj4dQ8ZAtrayhuDDmkY,0.587,0.965,11,-4.106,1,0.101,0.0362,0.0,0.138,0.825,129.972
55,Ghost,2vRmKXtDX3acEWm1XnP47t,0.578,0.514,11,-11.96,1,0.0306,0.102,0.000942,0.186,0.268,131.528
56,Numb,10xV5l9nhLvFpR8mqzs0bL,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966
57,Apollo - Sped Up,1inNWPIdBuMIgKubp53Qm7,0.483,0.611,1,-6.33,1,0.0994,0.117,0.0,0.111,0.325,103.308
58,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048
59,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981
60,The Hills,7fBv7CLKzipRk6EC6TWHOB,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003
61,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007
62,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
63,Mera Safar,2AB7fsbG0eZJjDGile69CQ,0.775,0.536,1,-9.011,1,0.0741,0.25,0.0,0.0708,0.423,91.001
64,Proper Patola,39ujbBjTwwqUFySaCYDMMT,0.77,0.824,1,-6.491,0,0.0851,0.485,0.0,0.318,0.49,172.006
65,Wavin' Flag - Coca-Cola® Celebration Mix,4nOygULhEuDO5ZBRNPFaso,0.58,0.767,0,-4.174,1,0.0557,0.313,0.0,0.0518,0.776,151.845
66,Astronaut In The Ocean,6E90gq0KO6FYZVOXx8kCcC,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
67,Sorry Not Sorry,0yvPEnB032fojLfVluFjUv,0.706,0.643,11,-6.929,0,0.234,0.0242,0.0,0.262,0.885,143.931
68,Harleys In Hawaii,5nCthAh3jt4xKuLJAifAaR,0.722,0.757,10,-6.207,0,0.132,0.185,6.32e-06,0.126,0.721,140.094
69,Bones,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071
70,This City,3H3r2nKWa3Yk5gt8xgmsEt,0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877
71,No Lie,48QmG1dfvMuYLxMPt7KSRA,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04
72,Somebody To You,36M0NzkkJzr4ud9RYM5ynK,0.562,0.877,3,-3.567,1,0.044,0.0952,0.0,0.334,0.785,86.991
73,Levitating (feat. DaBaby),2i4Cd4c6uEjLZgdy2BQbZO,0.801,0.648,11,-6.353,0,0.218,0.215,0.00354,0.121,0.61,103.103
74,Under The Influence,71mHO4fFmS2Xu5XxZbcRND,0.62,0.62,1,-6.322,0,0.0375,0.0388,0.000213,0.129,0.459,144.835
75,Oo Antava Oo Oo Antava,3szxldqiYs7nkvtmooRod8,0.925,0.739,5,-6.724,0,0.104,0.34,0.0733,0.366,0.508,127.97
76,Starboy,7MXVkk9YMctZqd1Srtv4MB,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003
77,"Character Dheela 2.0 (From ""Shehzada"")",24AfLjMMgO8AjhQw8l7y1L,0.848,0.911,1,-7.41,0,0.0469,0.0227,0.0172,0.0805,0.693,111.971
78,Tere Pyaar Mein,2ZD4aIEepqZsdxPxLSuUhm,0.679,0.748,9,-5.487,0,0.054,0.111,0.0,0.183,0.406,118.945
79,Meri Jaan,4iEGv5Ne6HuCkFCjzxdWQK,0.745,0.432,0,-8.092,0,0.0406,0.629,0.0,0.351,0.693,104.018
80,Sakhiyan2.0,2hTn8oS49IQULxAWs7hEBz,0.817,0.715,9,-5.13,1,0.0484,0.183,0.0,0.214,0.398,100.002
81,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",0czcoKJbJt08NqKrvSbbz7,0.582,0.418,7,-8.701,1,0.0288,0.794,0.0,0.109,0.243,112.909
82,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",2cbaCL38j8eUXBQjvLawET,0.857,0.893,0,-2.87,0,0.0422,0.0663,0.0,0.0335,0.845,108.022
83,"Ghodey Pe Sawaar (From ""Qala"")",1a8w8nlIyIhE2W1HIayKnl,0.777,0.481,3,-6.127,1,0.0274,0.794,4.23e-05,0.265,0.814,102.003
84,"Galliyan Returns (From ""Ek Villain Returns"")",2eTkxblLeqdTSsb2ivafDX,0.43,0.612,10,-5.534,0,0.0392,0.432,2.29e-06,0.0955,0.241,85.959
85,Tu Aake Dekhle,5BKKKNwrebowaMoUdBaNby,0.72,0.681,11,-8.042,1,0.0941,0.375,0.0,0.17,0.13,95.949
86,"Raataan Lambiyan (From ""Shershaah"")",2rOnSn2piaqLAlYjtfUBlY,0.72,0.63,10,-5.549,1,0.0413,0.615,0.0,0.108,0.512,81.009
87,Baarish Mein Tum,4xA7TokHI9HTapV4wO3W5I,0.454,0.664,5,-4.471,0,0.0597,0.7,6.57e-06,0.199,0.523,78.052
88,"Besharam Rang (From ""Pathaan"")",0CtZpaOhtzvLV3FfcsVpQo,0.773,0.795,8,-5.537,0,0.0412,0.0587,0.00237,0.154,0.649,115.997
89,"Doobey (From ""Gehraiyaan"")",7MBqVOzb8C3f0FXr2LBLiq,0.751,0.669,3,-6.532,0,0.0359,0.342,1.31e-05,0.0822,0.359,119.014
90,Filhaal2 Mohabbat,576v1keY82NOPITMNu0wD2,0.574,0.578,9,-3.188,0,0.0343,0.296,0.0,0.114,0.274,85.186
91,Ektarfa,70wFZWY6cKFxp3Qcq8uxH4,0.748,0.472,0,-9.266,0,0.125,0.596,1.1e-05,0.102,0.364,149.97
92,"Srivalli (From ""Pushpa The Rise Part - 01"")",2YmXGUx32C3CUEgcAyHcGf,0.82,0.581,4,-5.655,1,0.0438,0.494,0.0,0.362,0.681,106.965
93,Kahani Suno 2.0,4VsP4Dm8gsibRxB5I2hEkw,0.577,0.379,11,-13.235,1,0.0374,0.909,0.000586,0.0986,0.26,139.585
94,"Show Me The Thumka (From ""Tu Jhoothi Main Makkaar"")",1t39FBb0zsKv5krZaqZKCB,0.841,0.87,9,-4.487,1,0.216,0.607,8.83e-06,0.0734,0.803,122.005
95,Black Magic,6rmXhRIemCTPyMYZRDN7Qg,0.776,0.875,4,-5.535,1,0.0575,0.0343,0.0,0.314,0.849,111.988
96,Matkar Maya Ko Ahankar,18dts4OqWOQTGFlMTGodkk,0.797,0.515,1,-6.289,1,0.0257,0.614,1.32e-05,0.138,0.612,107.48
97,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",285HeuLxsngjFn4GGegGNm,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979
98,Tukur Tukur,5swv4r5dYNHhsL54jGqmn8,0.8,0.921,1,-3.7,1,0.0846,0.0841,1.82e-05,0.189,0.826,137.989
99,Main Rang Sharbaton Ka,1yYM7dY6wSJFp5qmxPRLu1,0.631,0.631,6,-6.934,1,0.0307,0.693,0.0,0.133,0.697,89.975
100,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999
101,"Naacho Naacho (From ""Rrr"")",208sMwgVcaFt2mT79Df1KG,0.438,0.986,10,-3.384,0,0.14,0.35,0.000343,0.0773,0.736,159.894
102,"Husn Parcham (From ""Zero"")",7dU8HTgtvhyOUqgKumTUKR,0.868,0.817,6,-6.651,1,0.105,0.318,0.0,0.104,0.171,89.94
103,Believer,2sU9EjevkrU9OkPZudvFNN,0.487,0.838,10,-4.319,0,0.255,0.058,0.0,0.0645,0.762,93.701
104,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
105,Name Tag,54fFQDKCPb0NO6WRnAlLfV,0.792,0.546,7,-8.514,1,0.042,0.129,1.6e-05,0.335,0.642,104.979
106,Call You Mine,6J2pC3j9WF4tVJo4mEHZdn,0.588,0.687,7,-5.786,1,0.0514,0.00449,0.00288,0.104,0.23,94.896
107,"Najaa (From ""Sooryavanshi"")",09vHbIezp9NP31CZWysk3v,0.786,0.727,9,-5.028,0,0.051,0.0818,0.0,0.0824,0.697,93.97
108,Firework,1mXuMM6zjPgjL4asbBsgnt,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071
109,Million Ways,3wuR0YSNdT9rgWfFi1lctv,0.645,0.803,6,-4.819,1,0.034,0.0312,0.0,0.13,0.471,106.03
110,Kun Faya Kun,7F8RNvTQlvbeBLeenycvN6,0.362,0.378,1,-11.008,1,0.0329,0.679,0.0,0.091,0.575,87.549
111,Gallan Goodiyaan,7zVaOOcSGe6o6ZIOEAF68C,0.874,0.794,9,-4.506,1,0.135,0.233,1.4e-05,0.085,0.677,114.92
112,MagSafe,1CZcbZ3MTA7JOyt5fQrcv4,0.691,0.826,2,-1.775,0,0.096,0.0362,0.00965,0.569,0.52,140.061
113,Dance Meri Rani,2Og3TvRiujRDfgnkmgaOhW,0.9,0.589,10,-6.862,0,0.173,0.0334,0.0139,0.0805,0.678,107.993
114,Sad Forever,5kM7vJccMgGB5i7YlT4BtM,0.698,0.302,5,-10.351,1,0.0398,0.949,1.79e-06,0.114,0.447,125.849
115,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881
116,Main Badhiya Tu Bhi Badhiya,05gTJCRktC20gsp37kNSTH,0.668,0.793,4,-7.368,1,0.0562,0.15,0.0,0.333,0.543,81.994
117,Fikar Not,7oRA6vzbUl5brLK7GDcKOJ,0.609,0.849,5,-6.826,0,0.0859,0.375,0.0019,0.058,0.869,185.889
118,"Love Me Like You Do - From ""Fifty Shades Of Grey""",3zHq9ouUJQFQRf3cm1rRLu,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857
119,Little Do You Know,1bVs38kkrOosMaQCdxna9d,0.692,0.0325,6,-23.285,1,0.0816,0.888,0.806,0.0973,0.75,147.986
120,"Deewangi (Rainbow Mix)[Remix By Dj Kiran,Dj G]",07RJC58SXjGzBODPOZZq0x,0.757,0.849,2,-4.026,1,0.041,0.0483,1.9e-06,0.788,0.711,121.992
121,Deewangi Deewangi,7emLx4rVwr0tPyjktu7A7U,0.725,0.918,9,-4.875,1,0.0447,0.0289,5.13e-06,0.602,0.927,107.975
122,Ajab Si,5FXMRdJjKq1BIX4e8Eg9mK,0.697,0.438,8,-8.411,1,0.0289,0.397,0.0,0.293,0.58,117.954
123,Main Agar Kahoon,3WVHfTd7xz9VPYJQFpOp8j,0.533,0.436,5,-7.521,0,0.0276,0.234,3.17e-06,0.46,0.371,146.868
124,"Jaadui (From ""Tu Jhoothi Main Makkaar"")",4nriYsKSq1VmiamjZOB4Tp,0.589,0.419,7,-10.485,1,0.0265,0.866,8.79e-06,0.136,0.437,102.973
125,"Duniyaa (From ""Luka Chuppi"")",2tjWCe2W7sgvS3C8NHcdtI,0.435,0.658,7,-5.949,0,0.0368,0.699,0.0,0.125,0.524,77.17
126,Show Me Love,7rfiXyFb5M9BqdkvKvVEiB,0.728,0.811,7,-4.278,1,0.0564,0.0453,2.07e-06,0.362,0.705,114.995
127,Ambarsariya-Suit Suit,2VdzADGdeTlyqFBeSIFDKt,0.666,0.857,2,-4.118,0,0.0541,0.181,2.24e-06,0.243,0.653,93.02
128,Dancing in The Dark,4QCVvLRNP45j83odN8Gzml,0.736,0.824,8,-4.231,1,0.0672,0.00358,0.000921,0.329,0.443,124.954
129,Dilliwaliye,1AkyGhZWPOf9VKA1pTmJNn,0.742,0.737,0,-4.855,0,0.0384,0.179,0.0,0.331,0.357,92.0
130,Daily Daily,3rO4H57XVaVvihdUV2kt4n,0.514,0.318,6,-10.343,1,0.155,0.974,0.00212,0.122,0.417,80.695
131,Waalian,29NyItj5L18Qn4QlPSeRE3,0.594,0.636,10,-8.512,0,0.372,0.572,0.0,0.104,0.474,84.908
132,Don't Look Back,3w5GBBZkHMBQ7NgpdGJ9Xx,0.791,0.355,0,-16.191,1,0.166,0.0151,0.0686,0.247,0.148,128.014
133,"Kaise Hua (From ""Kabir Singh"")",5w0Xpt2YHT2Y3z3e4UUJP7,0.37,0.467,2,-6.973,1,0.0411,0.442,0.0,0.109,0.162,137.796
134,Shayad,1smFN2CLqGROu0J0UyvDfL,0.483,0.468,8,-7.642,1,0.0341,0.784,0.0,0.152,0.319,135.875
135,"NCR Ke (Original Song from ""NCR Days"")",0PHCoJBQyXpTci3lfy7i1s,0.642,0.937,9,-8.295,1,0.33,0.0159,4.83e-05,0.192,0.065,160.085
136,Lover,0XwRlvv3KlOu4HWlOH34XG,0.827,0.587,9,-5.531,0,0.113,0.203,0.0,0.0727,0.774,119.936
137,Despacito - Remix,50sDAJ1OV0vDfQP91RrAT7,0.685,0.482,11,-9.943,0,0.169,0.0382,0.675,0.239,0.19,178.018
138,Standing When It All Falls Down (feat. Roshi) - Official NiP Team Song,0wyTaLdr1Rc0tMPpMTPUWD,0.545,0.733,8,-5.494,1,0.0479,0.00196,7.41e-06,0.0819,0.203,150.01
139,They Don't Know About Us,6M31fPFCYB8Job3MCjjrDV,0.514,0.727,0,-6.131,1,0.0492,0.126,0.0,0.0978,0.37,147.917
140,Bad Habits,0UN3rHI3JTM0cuX1qLOTdF,0.745,0.77,11,-7.18,0,0.0495,0.129,0.00656,0.186,0.506,125.919
141,Mirchi,5KkCsYIgMK5H7Ih31Dnd2Q,0.871,0.608,6,-5.486,1,0.4,0.142,0.0,0.0876,0.818,129.784
142,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818
143,Daryaa,5WJ7hrAsgcfncN8zussoFq,0.567,0.526,8,-5.029,1,0.0251,0.153,2.34e-06,0.103,0.231,91.999
144,All We Know,65Qe0x9oCbs9pNJc6QBFx7,0.666,0.589,0,-8.769,1,0.0314,0.0985,0.00175,0.112,0.332,89.998
145,Safarnama,6w458kA8WOAIZr1ublxnK9,0.541,0.512,9,-10.203,1,0.0291,0.74,0.000528,0.162,0.203,120.036
146,Sajdaa,395gJWcJQK0C3GJfHAn7f6,0.469,0.737,8,-7.274,1,0.0762,0.725,0.00272,0.0655,0.572,79.545
147,Subha Hone Na De,6WediUhXDfm8FR3wlM0r3G,0.727,0.9,8,-4.529,1,0.0452,0.0805,0.0464,0.154,0.505,131.97
148,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995
149,2step (feat. Armaan Malik),1vf09n9QoDVWhBImRgQQyG,0.747,0.667,4,-5.181,0,0.0566,0.18,0.0,0.146,0.508,95.0
150,Maan Meri Jaan (Afterlife),0Sy4U9bS9FG8d4NH1Kfvhq,0.384,0.779,5,-4.541,0,0.0366,0.0311,2.86e-05,0.0897,0.409,124.923
151,STAY (with Justin Bieber),6J1mdhEN8U5943JvzO2RNK,0.602,0.478,1,-11.004,1,0.0502,0.537,0.808,0.106,0.602,170.077
152,Dandelions,6fhG2KJgwO7CrNflRaRmvp,0.573,0.715,8,-3.293,0,0.0256,0.0444,0.0,0.0898,0.258,101.699
153,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
154,Light Switch,3AVXwaOGCEL8cmBecfcsFJ,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009
155,Into Your Arms (feat. Ava Max),0b11D9D0hMOYCIMN3OKreM,0.504,0.788,3,-4.113,0,0.215,0.0134,0.0,0.363,0.228,170.039
156,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073
157,MONEY,0g4fzRkbLeCDUCoe5iUOcf,0.789,0.534,8,-6.347,0,0.0709,0.323,3.42e-06,0.0645,0.631,134.055
158,Levitating,39LLxExYz6ewLAcYrzQQyP,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014
159,Bhool Bhulaiyaa 2 Title Track,2cbaCL38j8eUXBQjvLawET,0.857,0.893,0,-2.87,0,0.0422,0.0663,0.0,0.0335,0.845,108.022
160,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",2PEo8JQ48mfEv8a2HLqDvt,0.875,0.846,7,-5.276,1,0.0716,0.137,1.15e-05,0.123,0.697,114.981
161,"Maine Pi Rakhi Hai (From ""Tu Jhoothi Main Makkaar"")",3rQDMaRia4W2M0Fliv9J4I,0.733,0.876,1,-4.92,1,0.281,0.143,0.0,0.214,0.586,105.07
162,Sutta,55FuzGP2FX0F0AowXYp86G,0.626,0.395,9,-14.973,1,0.22,0.117,0.0,0.713,0.548,98.542
163,Kaali Teri Gutt,2LQNu1QEkmCystO6qqnrVs,0.77,0.798,0,-6.406,1,0.0435,0.17,0.000119,0.0957,0.724,94.984
164,Shut Up,76cy1WJvNGJTj78UqeA5zr,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028
165,Dotara,1xm3sOPcACkGMzxG3HhMDT,0.489,0.666,8,-4.076,1,0.0709,0.586,1.22e-06,0.0771,0.907,128.013
166,Sanak,3SiQsAVS3CDJQzWPRyX1XP,0.955,0.862,7,-4.509,0,0.277,0.378,2.08e-05,0.0687,0.831,110.058
167,"Chedkhaniyan (From ""Shehzada"")",6EKY8rpjaBxxB0WbXJhedU,0.716,0.876,7,-3.777,1,0.0694,0.38,0.0,0.394,0.849,124.903
168,"Kudi Chamkeeli (From ""Selfiee"")",703UsTGRCq2nttht4ib42D,0.767,0.805,7,-4.808,1,0.0466,0.125,0.0,0.157,0.607,114.997
169,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",2vPrBucKCfKmafHhSfJ2pt,0.772,0.767,0,-4.792,1,0.0381,0.138,0.0,0.557,0.866,122.024
170,"Munda Sona Hoon Main (From ""Shehzada"")",0NODNDsiY0sK5P0TnmDMSE,0.775,0.83,9,-4.905,0,0.0571,0.271,0.0,0.191,0.913,130.024
171,Unstoppable,1xNJMrHwYGKX4esmYxkPUY,0.763,0.533,8,-7.148,0,0.0598,0.142,0.0,0.112,0.591,138.033
172,"Current Laga Re (From ""Cirkus"")",0z8wIFS6LUp2iz6kajcID7,0.504,0.966,0,-3.072,0,0.389,0.282,1.89e-06,0.0733,0.414,151.031
